Zelle;Kapazität in mAh;Temperatur;Volt/SOC;Relative Kapazität in %;Dauer d. Alterung in Tagen;Rel. Kapa. % / Tag;Verlust an abs. Kapa in mAh;mAh/Tag;mAh/Jahr;Paper;Chemie;Art d. Alterung;Kondition der Alterung
UR18650E;2050;40;80;0.891;300.0;0.036333333;223.45;0.744833333;272;Calendar Aging of Lithium-Ion Batteries;NMC;Calendar;Keine Angabe
UR18650E;2050;25;80;0.945;300.0;0.018333333;112.75;0.375833333;137;Calendar Aging of Lithium-Ion Batteries;NMC;Calendar;Keine Angabe
APR18650M1A;1100;50;80;0.867;270.0;0.049259259;146.3;0.541851852;198;Calendar Aging of Lithium-Ion Batteries;LFP;Calendar;Keine Angabe
APR18650M1A;1100;40;80;0.903;270.0;0.035925926;106.7;0.395185185;144;Calendar Aging of Lithium-Ion Batteries;LFP;Calendar;Keine Angabe
APR18650M1A;1100;25;80;0.942;270.0;0.021481481;63.8;0.236296296;86;Calendar Aging of Lithium-Ion Batteries;LFP;Calendar;Keine Angabe
UR18650E;2050;50;80;0.761;406.2;0.058838011;489.95;1.206179222;440;A holistic aging model for Li(NiMnCo)O2 based 18650 lithium-ion batteries;NMC;Calendar;Keine Angabe
UR18650E;2050;50;85;0.751;407.5;0.061104294;510.45;1.252638037;457;A holistic aging model for Li(NiMnCo)O2 based 18650 lithium-ion batteries;NMC;Calendar;Keine Angabe
NCR18650PD;2800;25;90;0.946;288.0;0.01875;151.2;0.525;192;Calendar Aging of NCA Lithium-I;NCA;Calendar;Keine Angabe
NCR18650PD;2800;50;90;0.887;285.0;0.039649123;316.4;1.110175439;405;Calendar Aging of NCA Lithium-I;NCA;Calendar;Keine Angabe
NCR18650BD;3200;10;90;0.849;73.0;0.206849315;483.2;6.619178082;2,416;An evaluation study of different modelling techniques for calendar ageing prediction of lithium-ion batteries;NCA;Calendar;Keine Angabe
NCR18650BD;3200;10;90;0.844;139.0;0.112230216;499.2;3.591366906;1,311;An evaluation study of different modelling techniques for calendar ageing prediction of lithium-ion batteries;NCA;Calendar;Keine Angabe
NCR18650BD;3200;10;90;0.826;202.0;0.086138614;556.8;2.756435644;1,006;An evaluation study of different modelling techniques for calendar ageing prediction of lithium-ion batteries;NCA;Calendar;Keine Angabe
NCR18650BD;3200;10;90;0.835;297.0;0.055555556;528;1.777777778;649;An evaluation study of different modelling techniques for calendar ageing prediction of lithium-ion batteries;NCA;Calendar;Keine Angabe
NCR18650BD;3200;10;90;0.817;385.0;0.047532468;585.6;1.521038961;555;An evaluation study of different modelling techniques for calendar ageing prediction of lithium-ion batteries;NCA;Calendar;Keine Angabe
NCR18650BD;3200;10;90;0.820;435.0;0.04137931;576;1.324137931;483;An evaluation study of different modelling techniques for calendar ageing prediction of lithium-ion batteries;NCA;Calendar;Keine Angabe
NCR18650BD;3200;45;90;0.832;73.0;0.230136986;537.6;7.364383562;2,688;An evaluation study of different modelling techniques for calendar ageing prediction of lithium-ion batteries;NCA;Calendar;Keine Angabe
NCR18650BD;3200;45;90;0.836;139.0;0.117985612;524.8;3.775539568;1,378;An evaluation study of different modelling techniques for calendar ageing prediction of lithium-ion batteries;NCA;Calendar;Keine Angabe
NCR18650BD;3200;45;90;0.826;202.0;0.086138614;556.8;2.756435644;1,006;An evaluation study of different modelling techniques for calendar ageing prediction of lithium-ion batteries;NCA;Calendar;Keine Angabe
NCR18650BD;3200;45;90;0.812;297.0;0.063299663;601.6;2.025589226;739;An evaluation study of different modelling techniques for calendar ageing prediction of lithium-ion batteries;NCA;Calendar;Keine Angabe
NCR18650BD;3200;45;90;0.812;385.0;0.048831169;601.6;1.562597403;570;An evaluation study of different modelling techniques for calendar ageing prediction of lithium-ion batteries;NCA;Calendar;Keine Angabe
NCR18650BD;3200;45;90;0.816;435.0;0.042298851;588.8;1.353563218;494;An evaluation study of different modelling techniques for calendar ageing prediction of lithium-ion batteries;NCA;Calendar;Keine Angabe
NCR18650BD;3200;25;90;0.843;73.0;0.215068493;502.4;6.882191781;2,512;An evaluation study of different modelling techniques for calendar ageing prediction of lithium-ion batteries;NCA;Calendar;Keine Angabe
NCR18650BD;3200;25;90;0.819;139.0;0.130215827;579.2;4.166906475;1,521;An evaluation study of different modelling techniques for calendar ageing prediction of lithium-ion batteries;NCA;Calendar;Keine Angabe
NCR18650BD;3200;25;90;0.819;202.0;0.08960396;579.2;2.867326733;1,047;An evaluation study of different modelling techniques for calendar ageing prediction of lithium-ion batteries;NCA;Calendar;Keine Angabe
NCR18650BD;3200;25;90;0.804;297.0;0.065993266;627.2;2.111784512;771;An evaluation study of different modelling techniques for calendar ageing prediction of lithium-ion batteries;NCA;Calendar;Keine Angabe
NCR18650BD;3200;25;90;0.799;385.0;0.052207792;643.2;1.670649351;610;An evaluation study of different modelling techniques for calendar ageing prediction of lithium-ion batteries;NCA;Calendar;Keine Angabe
NCR18650BD;3200;25;90;0.792;435.0;0.047816092;665.6;1.530114943;558;An evaluation study of different modelling techniques for calendar ageing prediction of lithium-ion batteries;NCA;Calendar;Keine Angabe
NCR18650PD;2800;50;90;0.887;300.0;0.037666667;316.4;1.054666667;385;Calendar Aging of Lithium-Ion Batteries;NCA;Calendar;Keine Angabe
NCR18650PD;2800;40;90;0.913;300.0;0.029;243.6;0.812;296;Calendar Aging of Lithium-Ion Batteries;NCA;Calendar;Keine Angabe
NCR18650PD;2800;25;90;0.947;300.0;0.017666667;148.4;0.494666667;181;Calendar Aging of Lithium-Ion Batteries;NCA;Calendar;Keine Angabe
UR18650E;2050;40;90;0.889;300.0;0.037;227.55;0.7585;277;Calendar Aging of Lithium-Ion Batteries;NMC;Calendar;Keine Angabe
UR18650E;2050;25;90;0.943;300.0;0.019;116.85;0.3895;142;Calendar Aging of Lithium-Ion Batteries;NMC;Calendar;Keine Angabe
APR18650M1A;1100;50;90;0.860;270.0;0.051851852;154;0.57037037;208;Calendar Aging of Lithium-Ion Batteries;LFP;Calendar;Keine Angabe
APR18650M1A;1100;40;90;0.896;270.0;0.038518519;114.4;0.423703704;155;Calendar Aging of Lithium-Ion Batteries;LFP;Calendar;Keine Angabe
